trial_id,stim1,stim2,spkr1,spkr2,lang1,lang2,utt1,utt2,utterance_pair,speaker_identity,stimulus_language,cnceleb_resnet34,cnceleb_resnet34_LM,voxceleb_ECAPA1024,voxceleb_ECAPA1024_LM,voxceleb_ECAPA512,voxceleb_ECAPA512_LM,voxceleb_ecapa512_dino,voxceleb_CAM++,voxceleb_CAM++_LM,voxceleb_resnet34,voxceleb_resnet34_LM,voxblink2_samresnet34,voxblink2_samresnet34_ft,voxblink2_samresnet100,voxblink2_samresnet100_ft,voxceleb_resnet152_LM,voxceleb_resnet221_LM,voxceleb_resnet293_LM
T054,VF26A_Can_utt1.wav,VF32A_Can_utt2.wav,VF26A,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6474990099668503,0.638523057103157,0.5141546949744225,0.5202827788889408,0.5630875676870346,0.5685414746403694,0.6265015751123428,0.5404474064707756,0.5046356529928744,0.5742659941315651,0.5696201995015144,0.6308204680681229,0.6095133796334267,0.6572984009981155,0.6333424746990204,0.5638350397348404,0.5820595100522041,0.5490286909043789
T055,VF32A_Can_utt1.wav,VF32A_Can_utt2.wav,VF32A,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,same,can,0.9016391336917877,0.8943894803524017,0.7297324538230896,0.7128107845783234,0.7844911515712738,0.7673049569129944,0.7580989897251129,0.8033099472522736,0.7643762230873108,0.8001418709754944,0.7918466627597809,0.9110444784164429,0.8977415561676025,0.9107289612293243,0.8992569744586945,0.8051316738128662,0.8508602976799011,0.8026725649833679
T056,VF19B_Can_utt1.wav,VF19B_Eng_utt2.wav,VF19B,VF19B,Can,Eng,utt_c1,utt_e2,c1_e2,same,mixed,0.7578684687614441,0.7655600607395172,0.7882626950740814,0.7829078733921051,0.7267498522996902,0.7145573049783707,0.7361520528793335,0.7192231118679047,0.755325198173523,0.6975539177656174,0.6870788782835007,0.7631483972072601,0.7411691844463348,0.7737134099006653,0.7668442130088806,0.7917616367340088,0.7565463781356812,0.7930819392204285
T057,VF19B_Can_utt1.wav,VF19D_Eng_utt2.wav,VF19B,VF19D,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.5854313597083092,0.5759416073560715,0.6168136522173882,0.5976661294698715,0.5505937151610851,0.5402059853076935,0.615264818072319,0.5807867646217346,0.5874242708086967,0.5906411781907082,0.590646281838417,0.6045595854520798,0.6202835068106651,0.6231340989470482,0.6753931194543839,0.6038031578063965,0.5793777704238892,0.5760820880532265
T058,VF19B_Can_utt1.wav,VF21A_Eng_utt2.wav,VF19B,VF21A,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.6808287799358368,0.7049473822116852,0.6412102729082108,0.6539337337017059,0.6484374850988388,0.6477758586406708,0.6269561946392059,0.5480037145316601,0.5347249992191792,0.6269369274377823,0.6379292160272598,0.6015910059213638,0.5763881951570511,0.6140885278582573,0.5542253889143467,0.6262242048978806,0.5734795108437538,0.6215612813830376
T059,VF19B_Can_utt1.wav,VF21B_Eng_utt2.wav,VF19B,VF21B,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.6995548903942108,0.6808524131774902,0.636090487241745,0.6091055795550346,0.6000243872404099,0.5921917855739594,0.6855836063623428,0.6142423376441002,0.6153862029314041,0.6227051913738251,0.6081313192844391,0.6686816364526749,0.6320363134145737,0.6759375631809235,0.6318451911211014,0.6315755546092987,0.5811937600374222,0.6049777716398239
T060,VF19B_Can_utt1.wav,VF21C_Eng_utt2.wav,VF19B,VF21C,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.6294286102056503,0.6216439083218575,0.6056826114654541,0.6179971098899841,0.5928743407130241,0.5810831785202026,0.6341315805912018,0.5680815130472183,0.5659694075584412,0.6221177577972412,0.643296629190445,0.6223151981830597,0.5953570604324341,0.6278216242790222,0.5932732000946999,0.5941636189818382,0.5440656021237373,0.5472252294421196
T061,VF19B_Can_utt1.wav,VF21D_Eng_utt2.wav,VF19B,VF21D,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.7121035307645798,0.6959134042263031,0.6142817884683609,0.6171077266335487,0.628766730427742,0.6292974054813385,0.6753416955471039,0.5575815960764885,0.5692066177725792,0.5975783243775368,0.6093677580356598,0.5995489284396172,0.5494364127516747,0.6151212602853775,0.5991795063018799,0.6182227656245232,0.590461015701294,0.596275582909584
T062,VF19B_Can_utt1.wav,VF23B_Eng_utt2.wav,VF19B,VF23B,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.6292009502649307,0.6353052854537964,0.591885432600975,0.5967269465327263,0.5767165496945381,0.5552770048379898,0.5809394642710686,0.5433911345899105,0.5353965125977993,0.5568592473864555,0.5583646334707737,0.5782626569271088,0.5821974128484726,0.5909656062722206,0.5847689434885979,0.5693954601883888,0.5843014046549797,0.5803241953253746
T063,VF19B_Can_utt1.wav,VF23C_Eng_utt2.wav,VF19B,VF23C,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.6566247195005417,0.6585581302642822,0.5276826955378056,0.5561040081083775,0.4521418362855911,0.4457732290029526,0.5562484003603458,0.4632321409881115,0.4837925136089325,0.5250041726976633,0.5375147685408592,0.5643937215209007,0.52705935575068,0.5512652322649956,0.4553634338080883,0.5120317582041025,0.515326552093029,0.5191479865461588
T064,VF19B_Can_utt1.wav,VF26A_Eng_utt2.wav,VF19B,VF26A,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.5439913310110569,0.5549328997731209,0.6039734929800034,0.5878459066152573,0.5595322400331497,0.5531956441700459,0.6509683430194855,0.5822276622056961,0.6021382212638855,0.626516193151474,0.6256769746541977,0.6350619345903397,0.6283238232135773,0.5856438800692558,0.5590425468981266,0.6181826964020729,0.6217348799109459,0.6217227429151535
T065,VF19B_Can_utt1.wav,VF32A_Eng_utt2.wav,VF19B,VF32A,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.6009573936462402,0.6121074855327606,0.6422409266233444,0.6291331946849823,0.5769135355949402,0.5596016198396683,0.6851814687252045,0.5573634542524815,0.5717911347746849,0.5617025420069695,0.5671838670969009,0.599575899541378,0.5783515051007271,0.5898686945438385,0.5642303228378296,0.6098312959074974,0.5931936353445053,0.5707539692521095
T066,VF19D_Can_utt1.wav,VF19D_Eng_utt2.wav,VF19D,VF19D,Can,Eng,utt_c1,utt_e2,c1_e2,same,mixed,0.8181697726249695,0.8291435241699219,0.7635679244995117,0.7619886100292206,0.7850583791732788,0.7789733707904816,0.7418572455644608,0.8103168308734894,0.787550538778305,0.7669009268283844,0.7615355253219604,0.7871180176734924,0.7600055038928986,0.7956208884716034,0.8332672715187073,0.8186600208282471,0.8042737245559692,0.8319023847579956
T067,VF19D_Can_utt1.wav,VF21A_Eng_utt2.wav,VF19D,VF21A,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.7000986784696579,0.7032327800989151,0.6437848806381226,0.6396389901638031,0.6377045214176178,0.6259370893239975,0.6117111518979073,0.6037339568138123,0.5957629680633545,0.5954441428184509,0.5986457318067551,0.588791161775589,0.5928938686847687,0.6203139498829842,0.6453590095043182,0.6285478621721268,0.6069598123431206,0.6448730528354645
T068,VF19D_Can_utt1.wav,VF21B_Eng_utt2.wav,VF19D,VF21B,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.7166113555431366,0.713583379983902,0.7391133904457092,0.7229307144880295,0.7155088931322098,0.7086621671915054,0.6925894916057587,0.7182741910219193,0.7337964773178101,0.667529508471489,0.6635045111179352,0.6803377419710159,0.6855746209621429,0.6961167901754379,0.7379799038171768,0.7200017273426056,0.7272227704524994,0.6836174726486206
T069,VF19D_Can_utt1.wav,VF21C_Eng_utt2.wav,VF19D,VF21C,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.5583011694252491,0.5501126125454903,0.6555191725492477,0.6397996097803116,0.6291088312864304,0.6219856217503548,0.6335737705230713,0.6145451366901398,0.6014576256275177,0.5918359681963921,0.5963588207960129,0.6244826018810272,0.6393944323062897,0.6357213109731674,0.6670397073030472,0.630182534456253,0.6055085435509682,0.6002054885029793
T070,VF19D_Can_utt1.wav,VF21D_Eng_utt2.wav,VF19D,VF21D,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.5637475177645683,0.5545352175831795,0.5339096561074257,0.5075750816613436,0.5993664562702179,0.5787254348397255,0.6013682037591934,0.61910080909729,0.6074624881148338,0.5585352778434753,0.5717762112617493,0.5539131052792072,0.5493581593036652,0.5568919815123081,0.6103332936763763,0.6000047475099564,0.5850430727005005,0.5359640754759312
T071,VF19D_Can_utt1.wav,VF23B_Eng_utt2.wav,VF19D,VF23B,Can,Eng,utt_c1,utt_e2,c1_e2,diff,mixed,0.7069214135408401,0.6999446153640747,0.6207876652479172,0.6197830587625504,0.6007573381066322,0.5960131511092186,0.6188057735562325,0.6482806205749512,0.6583008319139481,0.5696895867586136,0.5684722438454628,0.6064168587327003,0.6149626076221466,0.5896532610058784,0.6030165702104568,0.56798255443573,0.6079284399747849,0.5553896576166153
