feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
energy_mean,all,0.18102176899738123,0.04463120633974673,0.013456815033624645,66.0,0.00048828125,0.0006824171686746987
energy_mean,can,0.12449822904368361,0.0519780493360058,0.01567197154382844,66.0,0.00048828125,0.0006824171686746987
energy_mean,eng,0.09715335169880626,0.08104431920998544,0.024435781655392185,64.0,0.00146484375,0.001953125
energy_mean,mixed,0.27363645432596484,0.033309574580332214,0.010043214619029262,66.0,0.00048828125,0.0006824171686746987
HNR_mean,all,0.23799824026947777,0.044135202478524586,0.013307264242511795,66.0,0.00048828125,0.0006824171686746987
HNR_mean,can,0.04863570772661682,0.06468456133818315,0.019503129062498428,56.0,0.02099609375,0.026473335597826084
HNR_mean,eng,0.27042502951593866,0.08154921582620193,0.024588013713020385,66.0,0.00048828125,0.0006824171686746987
HNR_mean,mixed,0.315848664217101,0.04634356267989911,0.013973109896140246,66.0,0.00048828125,0.0006824171686746987
HNR_cv,all,0.17383560924005545,0.030506545644917706,0.009198069595822056,66.0,0.00048828125,0.0006824171686746987
HNR_cv,can,0.12506231142594781,0.06760130087397162,0.02038255912171713,66.0,0.00048828125,0.0006824171686746987
HNR_cv,eng,0.04378853469762561,0.060882182565221925,0.01835666872606894,56.0,0.02099609375,0.026473335597826084
HNR_cv,mixed,0.2811959322293115,0.0237974815483662,0.0071752106592124125,66.0,0.00048828125,0.0006824171686746987
pF0_cv,all,0.06703839616036232,0.028654557216413367,0.008639674074601254,66.0,0.00048828125,0.0006824171686746987
pF0_cv,can,-0.07394726485635578,0.03238060279436959,0.009763119086768865,0.0,1.0,1.0
pF0_cv,eng,-0.04584809130263676,0.06138066933697935,0.01850696814287575,11.0,0.97900390625,1.0
pF0_cv,mixed,0.16143490969545832,0.028642827761713004,0.008636137510943383,66.0,0.00048828125,0.0006824171686746987
pF2_mean,all,0.21639467908220303,0.05212395734279127,0.01571596446313899,66.0,0.00048828125,0.0006824171686746987
pF2_mean,can,0.2480322707595435,0.04928327479991669,0.014859466450118297,66.0,0.00048828125,0.0006824171686746987
pF2_mean,eng,0.14943591761773584,0.08454820441830052,0.025492242795797405,66.0,0.00048828125,0.0006824171686746987
pF2_mean,mixed,0.2500527528422731,0.060249240729112,0.01816582958202392,66.0,0.00048828125,0.0006824171686746987
pF3_mean,all,0.1564860390555953,0.04103703633932589,0.012373132004156696,66.0,0.00048828125,0.0006824171686746987
pF3_mean,can,0.04717958808867901,0.04040266765532178,0.01218186264928459,63.0,0.00244140625,0.0032182173295454545
pF3_mean,eng,0.12117932572478031,0.08224737570213767,0.02479851683594401,65.0,0.0009765625,0.0013172238372093023
pF3_mean,mixed,0.2531473910467671,0.05519411036983895,0.01664165043038363,66.0,0.00048828125,0.0006824171686746987
SHR_mean,all,0.17945553696607233,0.028828801303102974,0.008692210643463762,66.0,0.00048828125,0.0006824171686746987
SHR_mean,can,0.12242074235892496,0.08062292378425709,0.024308726153981913,66.0,0.00048828125,0.0006824171686746987
SHR_mean,eng,0.10875283374897524,0.05703853352135863,0.017197764934768683,65.0,0.0009765625,0.0013172238372093023
SHR_mean,mixed,0.243625538703892,0.035626062073804594,0.010741661877883692,66.0,0.00048828125,0.0006824171686746987
pF2_cv,all,0.14150326942425578,0.046780563178436076,0.01410487050403528,66.0,0.00048828125,0.0006824171686746987
pF2_cv,can,0.16305916305916307,0.06996162991857344,0.021094225105600974,66.0,0.00048828125,0.0006824171686746987
pF2_cv,eng,0.012226157680703141,0.0776878485077802,0.023423767660934413,45.0,0.16015625,0.19152706185567012
pF2_cv,mixed,0.2084325749552822,0.045914545256710244,0.013843756276027285,66.0,0.00048828125,0.0006824171686746987
H1H2c_mean,all,0.1758898076941471,0.03528333686336219,0.010638326338862508,66.0,0.00048828125,0.0006824171686746987
H1H2c_mean,can,0.05674275219729766,0.05969706181281909,0.01799934137452495,61.0,0.0048828125,0.006293402777777778
H1H2c_mean,eng,0.08275613275613278,0.04619597333372002,0.013928610033928436,66.0,0.00048828125,0.0006824171686746987
H1H2c_mean,mixed,0.25337862792373245,0.04841326737420844,0.014597149341400361,66.0,0.00048828125,0.0006824171686746987
SHR_cv,all,-0.1359983292770443,0.0339121543211493,0.010224899246898343,0.0,1.0,1.0
SHR_cv,can,-0.31422079604338876,0.07734698668461312,0.023320993954316083,0.0,1.0,1.0
SHR_cv,eng,-0.16041525761088976,0.047172623131521124,0.014223081027645048,0.0,1.0,1.0
SHR_cv,mixed,-0.031708963307043814,0.035926840273528715,0.010832349917302192,10.0,0.98388671875,1.0
CPP_mean,all,0.26974861354234564,0.0401065707992915,0.012092586088097653,66.0,0.00048828125,0.0006824171686746987
CPP_mean,can,0.08924963924963927,0.09118054823624908,0.027491969698049092,61.0,0.0048828125,0.006293402777777778
CPP_mean,eng,0.4432113341204251,0.08718009061218168,0.02628578634089017,66.0,0.00048828125,0.0006824171686746987
CPP_mean,mixed,0.28871851063101484,0.0486627767828127,0.014672379258673436,66.0,0.00048828125,0.0006824171686746987
FD_cv,all,0.1485233433072695,0.053336983169838835,0.016081705511259658,66.0,0.00048828125,0.0006824171686746987
FD_cv,can,0.03957103502558049,0.0663343805333698,0.02000056826634936,51.0,0.0615234375,0.07592253989361702
FD_cv,eng,0.07882067427521974,0.10607389833186717,0.03198248371064627,54.0,0.03369140625,0.04202368951612903
FD_cv,mixed,0.2448212234981628,0.06439338901131457,0.019415337302720444,66.0,0.00048828125,0.0006824171686746987
CPP_cv,all,0.09946089980675711,0.058178535363927364,0.01754148842314271,66.0,0.00048828125,0.0006824171686746987
CPP_cv,can,-0.2112619703528795,0.051654740070530655,0.015574490132480582,0.0,1.0,1.0
CPP_cv,eng,0.318345795618523,0.07005228883342869,0.02112155979691694,66.0,0.00048828125,0.0006824171686746987
CPP_cv,mixed,0.17238012187181928,0.06645594329170448,0.02003722081706543,66.0,0.00048828125,0.0006824171686746987
pF4_mean,all,0.21603504834880674,0.03490961610821572,0.010525645291481677,66.0,0.00048828125,0.0006824171686746987
pF4_mean,can,0.2859044995408632,0.0579647256045909,0.017477022355121326,66.0,0.00048828125,0.0006824171686746987
pF4_mean,eng,0.12110061655516201,0.04567869289520674,0.013772644113388523,66.0,0.00048828125,0.0006824171686746987
pF4_mean,mixed,0.22383032699661468,0.03275334670125357,0.009875505603316624,66.0,0.00048828125,0.0006824171686746987
energy_cv,all,0.1062290272585966,0.02453551847981318,0.00739773716676104,66.0,0.00048828125,0.0006824171686746987
energy_cv,can,0.01464646464646465,0.06354858595215174,0.019160619596448852,44.0,0.1826171875,0.2161591198979592
energy_cv,eng,0.11211465302374396,0.053752050267653395,0.016206852950011716,66.0,0.00048828125,0.0006824171686746987
energy_cv,mixed,0.17066470503986342,0.04124170719830685,0.012434842590043932,66.0,0.00048828125,0.0006824171686746987
AR_mean,all,0.2379836911059045,0.0671178949767175,0.02023680675965922,66.0,0.00048828125,0.0006824171686746987
AR_mean,can,0.17448511084874724,0.05776121614023021,0.01741566194288763,66.0,0.00048828125,0.0006824171686746987
AR_mean,eng,0.16540731995277455,0.059070082889235265,0.017810300116253272,66.0,0.00048828125,0.0006824171686746987
AR_mean,mixed,0.1682514776323844,0.0631255411990223,0.01903306680411623,66.0,0.00048828125,0.0006824171686746987
H2H4c_mean,all,0.07524678834705972,0.03866612712665715,0.011658275979573137,66.0,0.00048828125,0.0006824171686746987
H2H4c_mean,can,0.15491276400367313,0.05302294472950776,0.01598701935886633,66.0,0.00048828125,0.0006824171686746987
H2H4c_mean,eng,0.1351829988193625,0.05623975039751628,0.01695692276107295,66.0,0.00048828125,0.0006824171686746987
H2H4c_mean,mixed,0.014992267517717695,0.05494955241837488,0.016567913433610512,38.0,0.35009765625,0.40611328125
pF4_cv,all,0.12794887929555934,0.025254464541859967,0.0076145075606076544,66.0,0.00048828125,0.0006824171686746987
pF4_cv,can,0.19393939393939397,0.07009354072998092,0.021133997711712788,66.0,0.00048828125,0.0006824171686746987
pF4_cv,eng,-0.05670339761248854,0.06225940432893965,0.01877191671182923,3.0,0.99853515625,1.0
pF4_cv,mixed,0.15630177902239725,0.04842370878411057,0.014600297544939241,66.0,0.00048828125,0.0006824171686746987
H42Kc_mean,all,0.14716658257461043,0.0191668506484098,0.0057790229103232196,66.0,0.00048828125,0.0006824171686746987
H42Kc_mean,can,0.08886265249901613,0.055968939271874185,0.016875270134453984,66.0,0.00048828125,0.0006824171686746987
H42Kc_mean,eng,0.09218155581791948,0.05381472897290536,0.016225751290708627,66.0,0.00048828125,0.0006824171686746987
H42Kc_mean,mixed,0.19509873503920447,0.04557855910845127,0.01374245264070622,66.0,0.00048828125,0.0006824171686746987
